Dag,Dato,Hva økt 1,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
torsdag,1.mai,Fotballtrening ,01:30,Evt rulleski 1t,
fredag,2.mai,Hvile,00:00,,
lørdag,3.mai,Råskinnet/Råtassen,01:30,,
søndag,4.mai,Fotballkamp,01:15,,"4,25t"
,,,,,
mandag,5.mai,Fotballtrening ,01:30,,
tirsdag,6.mai,Rolig løp,01:30,,
onsdag,7.mai,Styrke,01:15,,
torsdag,8.mai,Intervall 5x6min i3/terskel løp,01:30,"Målet vårt er løpe jevne runder, så prøv å finn et tempo du kan holde på alle drag. Unngå å sprekke",
fredag,9.mai,Hvile,00:00,,
lørdag,10.mai,Forflyttningssamling dag 1,,Viktig at man holder sitt eget tempo (i1) da det er en lang dag og mye trening,
søndag,11.mai,Forflyttningssamling dag 2,,Viktig at man holder sitt eget tempo (i1) da det er en lang dag og mye trening,"5,75t"
,,,,,
mandag,12.mai,Fotballtrening ,01:30,,
tirsdag,13.mai,Hurtighet klassisk,01:30,,
onsdag,14.mai,Intervall 4x6min i3 skate,01:15,Kontrollert. Ikke noe syre mot slutten. Se gjerne litt ekstra på klokken for å holde deg i sone 3 hele veien,
torsdag,15.mai,Fotballkamp,01:15,,
fredag,16.mai,Hvile,00:00,,
lørdag,17.mai,Hvile,00:00,,
søndag,18.mai,fotballkamp,01:15,,"6,75t"
,,,,,
mandag,19.mai,Fotballtrening ,01:30,,
tirsdag,20.mai,Teknikk skate,01:30,"Blir litt teori og øvelser man kan gjøre på egenhånd, sikkert litt ""kjeldelig"" økt, men lurt å følge godt med",
onsdag,21.mai,Konkurranseforberedende klassisk,01:00,"Oppvarming: 25min, deretter 4-5 stigningsdrag m/pause 2-4min mellom. Siste 10-15min rolig",
torsdag,22.mai,Motbakkeløp,01:45,Lurt å holde et lite knepp igjen første 8min og deretter skru opp mot maks,
fredag,23.mai,Styrke,01:15,,
lørdag,24.mai,Hvile,00:00,,
søndag,25.mai,Hvile,00:00,,"5,75t"
,,,,,
mandag,26.mai,Fotballtrening ,01:30,,
tirsdag,27.mai,Felthurtighet skate,01:30,,
onsdag,28.mai,Intervall 3-4-5-4-3min i4 skate,01:15,"Holde igjen siste giret, selv på 3- og 4-minutterne. Lov å få litt syre, men skal ikke være helt kjørt på slutten",
torsdag,29.mai,Fotballtrening ,01:30,,
fredag,30.mai,Hvile,00:00,,
lørdag,31.mai,Løp 30min + styrke 45min,01:15,Fokusere på overkropp,
søndag,1.juni,Fotballcup,,,"7,25t + cup"
,,,,,
mandag,2.juni,Fotballtrening ,01:30,,
tirsdag,3.juni,Fotballkamp,01:15,,
onsdag,4.juni,Hvile,00:00,,
torsdag,5.juni,Teknikk klassisk,01:30,"Blir litt teori og øvelser man kan gjøre på egenhånd, sikkert litt ""kjeldelig"" økt, men lurt å følge godt med",
fredag,6.juni,Hurtighet klassisk,01:30,,
lørdag,7.juni,"Intervall 5/6x6min i3 skate + lek, stafetter og styrke",03:00,,
søndag,8.juni,Langtur løp + rolig skate,04:25,,"13,25t"
,,,,,
